Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Цибуленко,Демʼян,Андрійович,Чоловіча,06-09-1951,Реставратор,хутір Васильків,"узвіз Набережна, буд. 78, Устилуг, 39730",+380 25 962-55-97,vernyhoravolodymyr@example.com
Тиха,Орест,Єлисейович,Чоловіча,16-10-1943,Журналіст,хутір Тараща,"шосе Лиманний, буд. 4 кв. 96, Світлодарськ, 32117",754-19-62,somkoleontii@example.com
Свириденко,Дмитро,Лукʼянович,Чоловіча,02-11-1977,Футболіст,хутір Вознесенськ,"площа Трудовий, буд. 55 кв. 2, Рені, 83872",+380 17 249-91-32,vashchenkomakar@example.com
Лукаш,Спас,Аркадійович,Чоловіча,14-04-1979,Фармацевт,селище Тараща,"площа Анни Ахматової, буд. 65 кв. 27, Снятин, 40864",013 074-74-83,niakymchuk@example.com
Гук,Павло,Орестович,Чоловіча,04-07-1988,Кінолог,хутір Лисичанськ,"вулиця Іподромний, буд. 04 кв. 8, Кам'янець-Подільський, 09258",+380 96 621-68-12,bazylevskaspas@example.com
Каденюк,Левко,Яремович,Чоловіча,20-09-1986,Стропальник,хутір Павлоград,"набережна Генуезька, буд. 11 кв. 90, Світловодськ, 02104",851-99-37,myron29@example.org
Михалюк,Тарас,Єфремович,Чоловіча,26-07-2006,Слідчий,селище Іловайськ,"узвіз Польський узвіз, буд. 746, Косів, 02618",+380 87 598-63-21,teslenkoklyment@example.org
Чубай,Марко,Гордійович,Чоловіча,27-09-2002,Льотчик,місто Новий Розділ,"сквер Лінія 37-ма, буд. 0, Вовчанськ, 96943",+380 (00) 715-91-60,solomiia65@example.net
Атаманюк,Нестор,Артемович,Чоловіча,22-06-1953,Модель,село Мена ,"площа Сабанський, буд. 644, Селидове, 74818",+380 67 940 42 68,lukianchaika@example.org
Байдак,Леопольд,Венедиктович,Чоловіча,03-02-1988,Маркетолог,селище Роздільна,"вулиця Авіаторів, буд. 74 кв. 801, Кадіївка, 76402",+380 12 245-09-13,petro35@example.net
Алексюк,Макар,Яковович,Чоловіча,25-02-1999,Музикознавець,село Костопіль,"проспект Спортивна, буд. 06 кв. 2, Корюківка, 83564",011 242-21-33,albert70@example.net
Засенко,Мирон,Захарович,Чоловіча,24-06-1974,Візажист,селище Горішні Плавні,"проспект Городня, буд. 97 кв. 6, Тальне, 07081",087 151 81 47,roksolana23@example.org
Зінчук,Гаврило,Ростиславович,Чоловіча,27-12-1996,Петрограф,хутір Таврійськ,"вулиця Костанді, буд. 1, Славутич, 20782",017-98-61,marianaievtushok@example.net
Жук,Павло,Антонович,Чоловіча,20-06-1945,Модельєр,селище Тростянець,"набережна Геранієва, буд. 1, Полтава, 73829",044 203-29-29,daryna70@example.org
Копитко,Єфрем,Єфремович,Чоловіча,16-12-2007,Кінорежисер,місто Географія Вільнянська,"парк Дунаєвського 2-й, буд. 114, Переяслав, 17314",+380 25 636-39-55,rozaliiachalenko@example.com
Данилюк,Йосип,Трохимович,Чоловіча,22-10-2006,Ветеринар,хутір Копичинці,"набережна Міхновського Миколи, буд. 897 кв. 968, Новояворівськ, 48855",+380 (49) 554-25-89,ztovstolis@example.org
Власенко,Орест,Максимович,Чоловіча,24-08-1995,Конструктор,село Бердичів,"проспект Бреуса, буд. 228 кв. 6, Великі Мости, 61896",+380 43 832-32-88,artymyshynievhen@example.org
Ващук,Тимофій,Ааронович,Чоловіча,26-05-1990,Шериф,хутір Новомосковськ,"вулиця Комітетська, буд. 9 кв. 8, Енергодар, 77240",+380 91 346 65 20,vlasiukolha@example.com
Бевзенко,Амвросій,Яковович,Чоловіча,26-10-1993,Режисер,село Павлоград,"площа Підйомний, буд. 86, Вишневе , 14535",076 318 16 60,mariia48@example.org
Заїка,Ігор,Борисович,Чоловіча,06-10-1968,Фізик,село Сторожинець,"узвіз Пестеля, буд. 196 кв. 27, Бібрка, 48402",897 44 66,eduardovsiienko@example.com
Чумаченко,Владислав,Ігнатович,Чоловіча,16-12-1944,Футболіст,селище Біла Церква,"сквер Нова, буд. 73 кв. 41, Середина-Буда, 67483",+380 37 774 42 19,veniiamyn75@example.org
Влох,Юстим,Панасович,Чоловіча,15-01-1943,Науковець,селище Алчевськ,"сквер Флотський 1-й, буд. 7, Саки , 49032",+380 56 448-37-62,kyrylo57@example.org
Єрьоменко,Назар,Геннадійович,Чоловіча,04-12-1958,Машиніст,місто Сновськ,"набережна Прохоровський, буд. 524, Попасна, 97626",038 072 87 26,anzhela11@example.org
Бабійчук,Святослав,Богданович,Чоловіча,27-03-1991,Журналіст,селище Батурин,"сквер Балківська, буд. 276 кв. 21, Олешки, 63524",045 067-58-26,alevtyniemelianenko@example.com
Щириця,Дмитро,Гордійович,Чоловіча,11-10-1990,Реабілітолог,місто Кролевець,"шосе Семафорний, буд. 86 кв. 9, Привілля, 31362",049 007 01 42,shynkarenkoielysaveta@example.com
Стельмах,Максим,Демʼянович,Чоловіча,25-09-1996,Програміст,селище Рожище,"набережна Василя Кандинського 2-й, буд. 90 кв. 214, Новгород-Сіверський, 24995",004 637 23 40,haidaandrii@example.net
Яремко,Павло,Вікторович,Чоловіча,23-11-2003,Диригент,місто Сватове,"парк Щоголєва, буд. 97, Бахмач, 76493",071 228-68-65,uiakymchuk@example.org
Величко,Остап,Остапович,Чоловіча,03-05-1990,Фізик,хутір Скалат,"набережна Нова, буд. 6 кв. 14, Бердянськ, 94755",+380 66 795-68-99,uhutsuliak@example.org
Хоменко,Леон,Станіславович,Чоловіча,15-01-1982,Модельєр,село Балта,"парк 5-та Лінія Марії Демченко, буд. 172, Бібрка, 24321",+380 68 462-04-02,mprokopovych@example.net
Непорожній,Герман,Ярославович,Чоловіча,13-10-1986,Електрик,село Бердичів,"площа Жолкова Бориса, буд. 035 кв. 62, Залізне, 56510",071 860 96 92,abrahamovskaliubov@example.org
Ільєнко,Валентин,Русланович,Чоловіча,21-01-1983,Електрослюсар,селище Ватутіне,"вулиця Спортивна, буд. 2, Тетіїв, 66354",+380 43 501-92-37,emiliiaivanchenko@example.net
Худобʼяк,Болеслав,Панасович,Чоловіча,08-12-1966,Намотувальник,село Шахтарськ,"проспект Сабанський, буд. 832 кв. 2, Новодністровськ, 08794",080 766 36 90,usykanton@example.net
Жадан,Федір,Мартинович,Чоловіча,16-04-1956,Мірошник,селище Пирятин,"проспект Сонячна, буд. 362 кв. 53, Борислав, 77131",+380 (89) 484-73-05,solomiiahaida@example.com
Височан,Дмитро,Хомович,Чоловіча,31-03-1973,Державний службовець,село Ланівці,"сквер Вишнева, буд. 0 кв. 4, Снігурівка, 85249",088 590 92 72,amaliiaiakymchuk@example.net
Фурс,Михайло,Альбертович,Чоловіча,16-10-1979,Живописець,хутір Хорол ,"сквер Канатна, буд. 67 кв. 83, Болехів, 59555",315 23 44,ielysaveta39@example.net
Бабко,Микита,Алевтинович,Чоловіча,25-10-1939,Футболіст,хутір Вугледар,"вулиця Чорноморський 3-й, буд. 5 кв. 80, Гребінка, 35640",271-66-70,yirvanets@example.com
Цимбал,Владислав,Геннадійович,Чоловіча,08-01-1953,Фотограф,село Перечин,"набережна Івана Вазова, буд. 539, Теплодар, 58279",+380 71 655 66 10,olesmykhaliuk@example.net
Тесленко,Лукʼян,Арсенович,Чоловіча,04-10-1956,Сантехнік,хутір Горлівка,"парк Об'їзна дорога, буд. 274 кв. 41, Носівка, 20168",+380 12 949-36-05,zasenkonazar@example.com
Проценко,Захар,Омелянович,Чоловіча,10-08-1955,Ветеринар,хутір Тиврів,"шосе Академіка Панкратової, буд. 44 кв. 120, Генічеськ, 37297",442-51-37,mykhailyna99@example.org
